16.00, 1.78
15.98, -2.14
15.99, -6.16
15.96, -10.15
15.98, -14.14
15.98, -18.17
15.98, -22.15
46.01, 1.85
45.98, -2.16
45.99, -6.15
45.99, -10.14
45.99, -14.16
46.00, -18.16
46.01, -22.14
75.99, 1.84
75.99, -2.18
76.01, -6.15
75.99, -10.17
76.00, -14.14
76.01, -18.13
75.99, -22.14
105.96, 1.86
105.96, -2.15
105.98, -6.17
106.00, -10.15
105.98, -14.11
106.00, -18.12
106.00, -22.11
135.96, 1.90
136.01, -2.13
136.00, -6.12
135.99, -10.13
136.00, -14.11
135.99, -18.09
135.99, -22.08
165.96, 1.83
165.99, -2.14
165.98, -6.15
166.00, -10.15
165.98, -14.12
165.96, -18.08
165.96, -22.09
196.00, 1.89
195.99, -2.09
195.95, -6.12
196.01, -10.07
195.97, -14.10
195.98, -18.09
195.97, -22.08
225.96, 1.94
225.97, -2.06
225.98, -6.08
225.98, -10.08
226.02, -14.09
225.98, -18.05
226.00, -22.08
19.75, -2.22
233.50, -2.22
239.12, -0.22
130.38, -0.22
-3.69, 18.58
230.05, 16.98
-0.88, 39.38
227.58, 37.78
1.94, 60.18
226.94, 58.58
4.75, 80.98
225.06, 79.38
7.56, 101.78
222.55, 100.18
53.50, 122.58
169.75, 120.98
1.00, 1.78
0.98, -2.14
0.96, -10.15
0.98, -14.14
0.98, -18.17
0.98, -22.15
0.99, -6.16
31.01, 1.85
30.98, -2.16
30.99, -6.15
30.99, -10.14
30.99, -14.16
31.00, -18.16
31.01, -22.14
60.99, 1.84
60.99, -2.18
61.01, -6.15
60.99, -10.17
61.00, -14.14
61.01, -18.13
60.99, -22.14
90.96, 1.86
90.96, -2.15
90.98, -6.17
91.00, -10.15
90.98, -14.11
91.00, -18.12
91.00, -22.11
120.96, 1.90
121.01, -2.13
121.00, -6.12
120.99, -10.13
121.00, -14.11
120.99, -18.09
120.99, -22.08
150.96, 1.83
150.99, -2.14
150.98, -6.15
151.00, -10.15
150.98, -14.12
150.96, -18.08
150.96, -22.09
181.00, 1.89
180.99, -2.09
180.95, -6.12
181.01, -10.07
180.97, -14.10
180.98, -18.09
180.97, -22.08
210.96, 1.94
210.97, -2.06
210.98, -6.08
210.98, -10.08
211.02, -14.09
210.98, -18.05
211.00, -22.08
